study_hours,attendance,previous_score,assignment_score,sleep_hours,final_score
7.1,80,66,71,6.9,68
5.6,75,62,66,6.7,63
6.4,81,74,77,5.8,71
7.5,94,96,91,7.1,88
5.3,65,66,59,7.6,61
5.1,75,58,68,6.0,64
8.7,96,91,77,8.3,86
7.0,82,72,76,7.6,71
5.1,75,65,59,6.4,65
5.8,88,73,78,7.1,72
5.3,63,60,62,8.3,60
4.5,68,66,55,7.6,60
7.1,76,65,67,7.2,69
1.3,49,35,43,6.5,39
3.3,60,41,44,6.8,45
4.3,69,63,58,6.6,56
2.9,64,47,52,5.2,53
5.4,71,60,75,8.8,67
3.3,69,52,53,7.0,51
3.0,54,49,49,7.1,49
8.2,95,92,98,7.3,93
4.4,76,62,59,6.5,61
5.3,85,66,61,7.0,71
4.1,53,52,52,5.5,49
5.4,55,52,58,8.8,55
5.7,79,67,68,6.1,67
3.2,72,52,49,6.0,53
6.0,88,74,72,6.8,69
4.5,71,57,67,8.0,56
4.0,71,63,68,7.1,60
3.9,74,49,64,6.0,52
7.4,94,90,87,8.5,86
5.5,79,69,63,7.7,67
3.7,67,48,41,7.3,45
6.3,92,79,75,7.8,73
4.1,76,52,56,8.8,56
4.7,81,69,73,8.9,71
1.0,51,40,41,6.2,32
3.0,61,45,50,8.1,49
6.3,71,69,68,7.4,70
7.7,82,80,79,7.6,82
5.2,77,70,74,5.8,71
5.7,73,63,59,6.9,68
4.6,74,64,65,6.4,61
2.4,55,49,52,7.5,47
4.5,74,49,56,7.8,54
4.8,71,65,65,5.3,62
6.0,90,80,95,7.3,87
6.9,79,74,72,8.1,70
3.0,57,47,46,6.6,43
5.3,85,66,69,7.7,71
4.8,68,59,64,7.3,63
4.3,66,56,61,7.2,56
6.5,83,72,77,7.0,76
6.7,83,88,77,6.3,80
6.4,84,77,82,6.4,81
3.7,65,53,63,7.5,56
5.5,78,63,66,7.1,67
6.2,82,67,77,7.1,78
6.7,90,79,80,7.0,80
4.9,76,62,65,6.8,63
2.9,74,63,67,7.9,62
4.0,66,51,49,6.6,50
1.8,62,48,53,5.8,52
6.4,88,72,75,7.9,75
6.9,90,87,83,7.2,82
4.2,64,73,68,7.1,62
7.8,88,81,83,8.6,85
5.5,88,73,68,7.2,72
4.3,74,61,64,7.2,60
5.8,86,67,75,6.2,72
8.3,100,95,86,7.2,87
5.2,77,67,61,7.6,64
7.1,97,95,88,6.2,89
1.2,42,30,31,6.7,33
6.3,85,86,80,7.3,78
4.3,81,71,68,7.2,63
4.4,79,65,55,7.9,58
6.4,77,69,67,7.4,65
2.2,51,38,40,7.9,42
4.6,74,69,68,6.3,69
5.6,84,73,70,7.3,71
7.6,88,80,96,7.5,89
5.7,59,55,52,6.1,55
4.0,65,55,63,7.7,57
4.6,65,61,60,8.9,58
7.6,85,80,84,7.3,80
6.0,80,76,73,7.6,69
4.1,68,52,66,7.1,58
6.0,90,75,73,6.6,73
5.3,80,61,64,5.7,65
6.9,90,84,87,6.7,83
4.4,72,57,58,5.8,56
4.6,67,64,65,8.4,60
5.0,77,58,68,6.9,63
2.5,59,52,44,6.5,47
5.8,84,75,75,7.9,71
4.3,75,73,69,6.3,66
5.9,69,67,67,6.5,66
5.0,78,66,65,7.1,63
3.4,62,44,42,7.6,43
2.4,67,65,59,7.4,56
6.0,69,69,69,7.2,64
3.7,73,60,61,7.0,59
5.7,69,62,66,7.4,61
5.2,90,74,75,7.3,75
9.0,95,88,92,6.7,96
4.8,82,72,76,7.2,68
5.2,78,72,71,6.3,70
6.4,79,58,68,7.1,64
1.6,51,35,47,6.3,40
5.3,76,65,64,9.1,62
5.9,78,67,76,7.1,71
10.0,100,97,94,6.5,94
5.0,78,66,73,7.0,67
6.0,78,72,70,7.6,68
6.8,75,66,66,8.4,70
3.1,58,48,44,6.4,43
7.4,78,87,81,6.1,82
7.3,85,84,73,7.9,78
7.4,99,76,76,6.2,78
4.4,70,52,55,6.6,55
8.2,94,89,91,7.2,87
1.9,59,46,50,6.8,45
7.4,84,75,77,7.8,81
8.3,100,100,93,7.0,92
3.6,59,45,51,6.7,50
3.7,76,64,68,7.0,66
5.3,82,69,66,7.2,65
4.5,75,58,69,7.1,58
2.6,61,45,46,7.1,45
5.6,78,68,69,7.8,67
4.4,68,45,58,7.2,58
6.4,86,80,80,7.6,78
3.4,64,54,55,5.7,50
8.7,93,90,87,7.5,86
